n,ime,i,j,c1,c2
14,Circular Ladder graph,2,3,2,3
14,Circular Ladder graph,2,4,2,2
15,Random Block Graph with 7 blocks of order 3,1,2,2,1
15,Random Block Graph with 7 blocks of order 3,1,3,2,1
15,Random Block Graph with 7 blocks of order 3,1,4,2,2
15,Random Block Graph with 7 blocks of order 3,2,2,1,1
15,Random Block Graph with 7 blocks of order 3,2,3,1,1
15,Random Block Graph with 7 blocks of order 3,2,4,2,2
15,"2D Grid Graph for [3, 5]",1,2,3,3
15,"2D Grid Graph for [3, 5]",1,3,3,3
15,"2D Grid Graph for [3, 5]",1,4,3,2
15,"2D Grid Graph for [3, 5]",2,2,2,3
15,"2D Grid Graph for [3, 5]",2,3,3,2
15,"2D Grid Graph for [3, 5]",2,4,2,2
15,"2D Grid Graph for [5, 3]",1,2,3,3
15,"2D Grid Graph for [5, 3]",1,3,3,4
15,"2D Grid Graph for [5, 3]",1,4,3,2
15,"2D Grid Graph for [5, 3]",2,2,2,2
15,"2D Grid Graph for [5, 3]",2,3,3,2
15,"2D Grid Graph for [5, 3]",2,4,2,2
15,,1,2,4,2
15,,1,3,3,3
15,,1,4,3,2
15,,2,2,3,3
15,,2,3,3,2
15,,2,4,2,2
16,"2D Grid Graph for [2, 8]",1,2,3,3
16,"2D Grid Graph for [2, 8]",1,3,2,2
16,"2D Grid Graph for [2, 8]",1,4,2,2
16,"2D Grid Graph for [2, 8]",2,2,2,3
16,"2D Grid Graph for [2, 8]",2,3,3,3
16,"2D Grid Graph for [2, 8]",2,4,1,3
16,Circular Ladder graph,1,2,4,5
16,Circular Ladder graph,1,3,3,3
16,Circular Ladder graph,1,4,2,3
16,Circular Ladder graph,2,2,2,2
16,Circular Ladder graph,2,3,2,3
16,Circular Ladder graph,2,4,3,2
16,"2D Grid Graph for [4, 4]",1,2,4,4
16,"2D Grid Graph for [4, 4]",1,3,4,3
16,"2D Grid Graph for [4, 4]",1,4,3,2
16,"2D Grid Graph for [4, 4]",2,2,3,2
16,"2D Grid Graph for [4, 4]",2,3,2,2
16,"2D Grid Graph for [4, 4]",2,4,3,2
16,Random Block Graph with 5 blocks of order 4,1,2,1,1
16,Random Block Graph with 5 blocks of order 4,1,3,1,2
16,Random Block Graph with 5 blocks of order 4,1,4,2,2
16,Random Block Graph with 5 blocks of order 4,2,2,1,1
16,Random Block Graph with 5 blocks of order 4,2,3,1,2
16,Random Block Graph with 5 blocks of order 4,2,4,1,1
16,,1,2,3,3
16,,1,3,2,2
16,,1,4,2,2
16,,2,2,3,3
16,,2,3,3,3
16,,2,4,2,2
16,Random Block Graph with 3 blocks of order 6,1,2,1,1
16,Random Block Graph with 3 blocks of order 6,1,3,1,1
16,Random Block Graph with 3 blocks of order 6,1,4,1,1
16,Random Block Graph with 3 blocks of order 6,2,2,1,1
16,Random Block Graph with 3 blocks of order 6,2,3,1,1
16,Random Block Graph with 3 blocks of order 6,2,4,1,1
17,Random Block Graph with 8 blocks of order 3,1,2,1,2
17,Random Block Graph with 8 blocks of order 3,1,3,2,3
17,Random Block Graph with 8 blocks of order 3,1,4,2,2
17,Random Block Graph with 8 blocks of order 3,2,2,1,1
17,Random Block Graph with 8 blocks of order 3,2,3,1,1
17,Random Block Graph with 8 blocks of order 3,2,4,2,2
17,Random Block Graph with 4 blocks of order 5,1,2,2,1
17,Random Block Graph with 4 blocks of order 5,1,3,2,1
17,Random Block Graph with 4 blocks of order 5,1,4,2,2
17,Random Block Graph with 4 blocks of order 5,2,2,2,1
17,Random Block Graph with 4 blocks of order 5,2,3,1,1
17,Random Block Graph with 4 blocks of order 5,2,4,1,1
18,"2D Grid Graph for [2, 9]",1,2,4,3
18,"2D Grid Graph for [2, 9]",1,3,4,3
18,"2D Grid Graph for [2, 9]",1,4,2,3
18,"2D Grid Graph for [2, 9]",2,2,2,2
18,"2D Grid Graph for [2, 9]",2,3,2,2
18,"2D Grid Graph for [2, 9]",2,4,2,3
18,Pappus Graph,1,2,4,3
18,Pappus Graph,1,3,3,3
18,Pappus Graph,1,4,3,3
18,Pappus Graph,2,2,4,3
18,Pappus Graph,2,3,3,3
18,Pappus Graph,2,4,3,3
18,Circular Ladder graph,1,2,4,4
18,Circular Ladder graph,1,3,3,3
18,Circular Ladder graph,1,4,2,4
18,Circular Ladder graph,2,2,3,3
